,0
0,90
1,580
2,489
3,420
4,596
5,422
6,407
7,576
8,153
9,310
10,337
11,330
12,135
13,171
14,359
15,539
16,54
17,160
18,42
19,30
20,340
21,600
22,52
23,323
24,103
25,463
26,293
27,63
28,631
29,312
30,480
31,536
32,10
33,178
34,192
35,563
36,202
37,237
38,33
39,520
40,55
41,562
42,382
43,275
44,198
45,127
46,113
47,75
48,6
49,412
50,571
51,125
52,215
53,621
54,187
55,234
56,177
57,76
58,408
59,383
60,11
61,49
62,444
63,546
64,230
65,433
66,381
67,143
68,201
69,388
70,197
71,355
72,349
73,468
74,317
75,249
76,401
77,285
78,108
79,304
80,267
81,145
82,44
83,300
84,559
85,152
86,134
87,301
88,467
89,521
90,409
91,188
92,573
93,276
94,369
95,7
96,123
97,427
98,450
99,623
100,443
101,72
102,287
103,610
104,425
105,120
106,367
107,24
108,41
109,218
110,591
111,506
112,195
113,62
114,549
115,479
116,544
117,592
118,334
119,274
120,161
121,555
122,242
123,162
124,436
125,194
126,598
127,259
128,447
129,225
130,37
131,347
132,490
133,124
134,414
135,253
136,133
137,429
138,57
139,174
140,608
141,373
142,207
143,138
144,66
145,497
146,186
147,516
148,203
149,291
150,85
151,341
152,404
153,609
154,343
155,335
156,405
157,246
158,434
159,511
160,193
161,619
162,114
163,176
164,327
165,119
166,292
167,526
168,239
169,482
170,551
171,206
172,602
173,515
174,205
175,431
176,286
177,158
178,455
179,374
180,236
181,392
182,238
183,303
184,172
185,528
186,169
187,190
188,356
189,264
190,624
191,421
192,150
193,578
194,417
195,438
196,199
197,196
198,593
199,159
200,616
201,613
202,140
203,353
204,232
205,626
206,112
207,221
208,212
209,69
210,142
211,283
212,280
213,466
214,126
215,338
216,265
217,272
218,346
219,43
220,432
221,102
222,371
223,372
224,376
225,363
226,297
227,352
228,117
229,339
230,29
231,183
232,109
233,385
234,220
235,77
236,209
237,40
238,566
239,615
240,86
241,208
242,368
243,456
244,22
245,99
246,256
247,93
248,568
249,535
250,332
251,308
252,378
253,525
254,611
255,344
256,522
257,523
258,116
259,322
260,519
261,156
262,457
263,92
264,328
265,474
266,282
267,257
268,483
269,358
270,81
271,261
272,262
273,411
274,146
275,321
276,460
277,175
278,486
279,163
280,572
281,53
282,307
283,441
284,61
285,607
286,166
287,100
288,189
289,604
290,561
291,151
292,278
293,68
294,299
295,268
296,552
297,5
298,345
299,510
300,50
301,547
302,627
303,185
304,370
305,141
306,403
307,579
308,47
309,584
310,241
311,379
312,79
313,586
314,105
315,606
316,465
317,107
318,390
319,273
320,342
321,97
322,45
323,144
324,543
325,605
326,583
327,567
328,461
329,17
330,524
331,60
332,228
333,48
334,366
335,377
336,235
337,224
338,428
339,132
340,14
341,148
342,131
343,478
344,27
345,226
346,25
347,309
348,87
349,248
350,512
351,384
352,329
353,154
354,216
355,222
356,245
357,400
358,258
359,21
360,231
361,82
362,360
363,612
364,570
365,223
366,319
367,59
368,502
369,614
370,266
371,56
372,398
373,630
374,89
375,518
376,475
377,324
378,357
379,18
380,290
381,315
382,531
383,284
384,233
385,507
386,2
387,229
388,581
389,269
390,139
391,263
392,94
393,470
394,361
395,106
396,128
397,111
398,170
399,442
400,477
401,281
402,560
403,31
404,271
405,437
406,481
407,532
408,289
409,15
410,46
411,362
412,32
413,575
414,473
415,336
416,628
417,423
418,387
419,585
420,587
421,458
422,413
423,589
424,95
425,498
426,16
427,70
428,558
429,393
430,155
431,464
432,435
433,625
434,485
435,396
436,389
437,505
438,513
439,517
440,157
441,200
442,553
443,73
444,305
445,492
446,469
447,597
448,104
449,416
450,491
451,243
452,96
453,430
454,391
455,129
456,496
457,629
458,325
459,394
460,23
461,418
462,247
463,380
464,588
465,595
466,472
467,302
468,0
469,213
470,603
471,514
472,471
473,557
474,617
475,439
476,620
477,250
478,51
479,399
480,3
481,210
482,255
483,533
484,136
485,20
486,118
487,9
488,451
489,110
490,375
491,182
492,65
493,415
494,527
495,550
496,454
497,34
498,582
499,453
500,386
501,556
502,599
503,294
504,351
505,191
506,254
507,130
508,446
509,569
510,462
511,424
512,204
513,98
514,331
515,484
516,537
517,12
518,564
519,503
520,590
521,211
522,39
523,58
524,122
525,13
526,504
527,538
528,4
529,316
530,121
531,354
532,622
533,397
534,495
535,333
536,306
537,83
538,406
539,499
540,38
541,501
542,542
543,252
544,313
545,88
546,395
547,36
548,167
549,574
550,298
551,251
552,288
553,147
554,214
555,364
556,240
557,78
558,530
559,565
560,149
561,426
562,19
563,493
564,440
565,244
566,365
567,448
568,28
569,181
570,91
571,459
572,311
573,618
574,318
575,137
576,594
577,270
578,164
579,500
580,350
581,509
582,277
583,101
584,84
585,219
586,487
587,26
588,449
589,554
590,180
591,217
592,534
593,326
594,35
595,540
596,410
597,168
598,452
599,541
600,74
601,601
602,115
603,402
604,227
605,494
606,314
607,545
608,296
609,179
610,548
611,445
612,64
613,260
614,419
615,80
616,165
617,295
618,508
619,529
620,476
621,279
622,8
623,1
624,488
625,71
626,173
627,320
628,348
629,67
630,577
631,184
